,id,install_date,installed,lat,locality,locked,lon,num_bikes,num_docks,num_empty,removal_date,temporary
176,1164,2010-07-17 11:58:00,True,51.520715,"Portland Place, Marylebone",False,-0.145211,12,34,22,,False
177,1174,2010-07-17 12:16:00,True,51.488057,"Alderney Street, Pimlico",False,-0.140741,10,14,4,,False
178,1167,2010-07-17 12:18:00,True,51.517335,"South Wharf Road, Paddington",False,-0.17581,9,16,7,,False
179,1172,2010-07-17 12:22:00,True,51.492479,"Queen's Gate (South), South Kensington",False,-0.178433,0,24,23,,False
180,1112,2010-07-17 15:26:00,True,51.516517,"Nutford Place, Marylebone",False,-0.164393,16,18,2,,False
181,1104,2010-07-17 15:33:00,True,51.531666,"Claremont Square, Angel",False,-0.109914,0,18,18,,False
182,1106,2010-07-17 16:38:00,True,51.489975,"Rampayne Street, Pimlico",False,-0.132845,16,21,5,,False
183,1075,2010-07-17 17:12:00,True,51.503117,"Hyde Park Corner, Hyde Park",False,-0.15352,1,28,27,,False
184,1163,2010-07-17 17:15:00,True,51.512515,"Wardour Street, Soho",False,-0.133201,14,16,2,,False
185,963,2010-07-17 19:47:59,True,51.505817,"Bankside Mix, Bankside",False,-0.100186,10,60,50,,False
186,960,2010-07-17 19:47:59,True,51.504627,"Hop Exchange, The Borough",False,-0.091773,15,56,41,,False
187,959,2010-07-17 19:47:59,True,51.507244,"Milroy Walk, South Bank",False,-0.106237,20,30,10,,False
188,961,2010-07-17 19:47:59,True,51.503688,"Union Street, The Borough",False,-0.098497,12,17,5,,False
189,962,2010-07-17 19:47:59,True,51.505569,"Stamford Street, South Bank",False,-0.111606,22,27,5,,False
190,1080,2010-07-18 09:30:00,True,51.510484,"Great Tower Street, Monument",False,-0.082989,18,24,5,,False
191,1105,2010-07-18 09:32:00,True,51.514924,"LMU Commercial Road, Whitechapel",False,-0.066078,6,14,7,,False
192,1102,2010-07-18 10:12:00,True,51.512363,"Leman Street, Aldgate",False,-0.069542,22,37,15,,False
193,1040,2010-07-18 10:33:00,True,51.518218,"West Smithfield Rotunda, Farringdon",False,-0.100791,6,15,8,,False
194,3468,2010-07-18 16:24:00,True,51.526599,"Margery Street, Clerkenwell",False,-0.112432,6,19,13,,False
195,1171,2010-07-18 17:43:00,True,51.518154,"New Road 1 , Whitechapel",False,-0.062697,26,36,10,,False
196,1169,2010-07-19 17:49:00,True,51.501352,"Grosvenor Crescent, Belgravia",False,-0.153194,16,18,2,,False
197,1175,2010-07-18 18:03:00,True,51.525051,"Mallory Street, Marylebone",False,-0.166304,10,20,10,,False
198,3454,2010-07-19 09:46:00,True,51.493583,"Denyer Street, Knightsbridge",False,-0.165101,9,30,21,,False
199,3476,2010-07-19 11:26:00,True,51.516814,"Hinde Street, Marylebone",False,-0.151926,18,21,2,,False
200,3469,2010-07-19 11:37:00,True,51.494645,"Cadogan Place, Knightsbridge",False,-0.158105,29,34,5,,False
201,3487,2010-07-19 11:54:00,True,51.506584,"Campden Hill Road, Notting Hill",False,-0.199004,2,17,15,,False
202,1109,2010-07-19 11:57:00,True,51.50274,"Wellington Arch, Hyde Park",False,-0.149569,25,36,10,,False
203,1079,2010-07-19 12:00:00,True,51.526838,"Endsleigh Gardens, Euston",False,-0.130504,26,32,6,,False
204,1092,2010-07-19 12:03:00,True,51.519069,"Moorfields, Moorgate",False,-0.088285,10,54,43,,False
205,3479,2010-07-19 12:12:00,True,51.490945,"Old Brompton Road, South Kensington",False,-0.18119,29,30,1,,False
206,2587,2010-07-19 12:14:00,True,51.516154,"Wormwood Street, Liverpool Street",False,-0.082422,15,16,1,,False
207,3486,2010-07-19 13:49:00,True,51.489716,"St. Luke's Church, Chelsea",False,-0.170194,13,20,7,,False
208,1183,2010-07-19 14:25:00,True,51.490163,"Bramham Gardens, Earl's Court",False,-0.190393,5,29,23,,False
209,1179,2010-07-19 14:32:00,True,51.490664,"Chelsea Green, Chelsea",False,-0.166485,14,27,13,,False
210,1170,2010-07-19 16:10:00,True,51.494816,"Horseferry Road, Westminster",False,-0.130458,2,16,14,,False
211,1101,2010-07-20 09:22:00,True,51.502757,"Knightsbridge, Hyde Park",False,-0.155349,12,43,31,,False
212,3481,2010-07-20 09:27:00,True,51.491484,"Rodney Road , Walworth",False,-0.09022,11,24,13,,False
213,1150,2010-07-20 09:37:00,True,51.514769,"Whiteley's, Bayswater",False,-0.188129,13,16,3,,False
214,1182,2010-07-20 09:58:00,True,51.509353,"Notting Hill Gate Station, Notting Hill",False,-0.196422,5,30,25,,False
